coin,status,z_score,mean_price,std_price,batch_id
binancecoin,normal,-2.0646,603.2286,0.5321,160
bitcoin,normal,-1.3451,65019.18,64.0683,160
cardano,ANOMALIE,3.2976,0.2686,0.0004,160
ethereum,normal,-1.2327,1901.2632,2.3227,160
solana,normal,-2.7326,81.0242,0.0345,160
binancecoin,normal,-1.9448,603.1958,0.548,161
bitcoin,normal,-1.2956,65015.56,63.721,161
cardano,ANOMALIE,3.2159,0.2685,0.0005,161
ethereum,normal,-1.1862,1901.1434,2.3128,161
solana,normal,-2.5035,81.0224,0.0369,161
binancecoin,normal,-1.844,603.1608,0.559,162
bitcoin,normal,-1.2567,65011.58,62.5275,162
cardano,ANOMALIE,3.1671,0.2685,0.0005,162
ethereum,normal,-1.1458,1901.0138,2.2811,162
solana,normal,-2.3202,81.0198,0.0387,162
binancecoin,normal,-1.5251,603.1286,0.563,167
bitcoin,normal,-0.4899,65008.52,60.2622,167
cardano,ANOMALIE,3.1305,0.2685,0.0005,167
ethereum,normal,-0.4968,1900.9124,2.2189,167
solana,normal,-1.7125,81.0176,0.0395,167
binancecoin,normal,-1.4623,603.0964,0.5651,168
bitcoin,normal,-0.4582,65005.46,57.7464,168
cardano,ANOMALIE,3.104,0.2685,0.0005,168
ethereum,normal,-0.4656,1900.811,2.15,168
solana,normal,-1.6305,81.0154,0.0401,168
binancecoin,normal,-1.4046,603.0642,0.5654,169
bitcoin,normal,-0.4259,65002.4,54.9458,169
cardano,ANOMALIE,3.0862,0.2685,0.0005,169
ethereum,normal,-0.4338,1900.7096,2.0739,169
solana,normal,-1.556,81.0132,0.0406,169
binancecoin,normal,-1.3506,603.0324,0.5645,170
bitcoin,normal,-0.3927,64999.56,52.3508,170
cardano,ANOMALIE,3.0899,0.2684,0.0005,170
ethereum,normal,-0.4019,1900.6164,2.0065,170
solana,normal,-1.4878,81.011,0.041,170
binancecoin,normal,-0.9766,603.0044,0.5574,171
bitcoin,normal,0.8453,64997.94,49.7568,171
cardano,ANOMALIE,3.1009,0.2684,0.0005,171
ethereum,normal,0.4169,1900.5542,1.9329,171
solana,normal,-1.425,81.0088,0.0413,171
binancecoin,normal,-0.1424,602.988,0.5478,176
bitcoin,normal,1.9464,64997.78,49.4337,176
cardano,ANOMALIE,3.1564,0.2684,0.0005,176
ethereum,normal,1.1593,1900.5268,1.8918,176
solana,normal,-1.1447,81.0064,0.0405,176
binancecoin,normal,-0.1146,602.9716,0.5375,177
bitcoin,normal,1.9626,64997.62,49.108,177
cardano,ANOMALIE,3.2184,0.2684,0.0005,177
